Company,Date,Adj Close,Volume,Difference,Difference_Percentage
T,2021-01-05,17.853172,83054520,-0.1098289999999977,0.6114178805645991
T,2021-01-06,18.200960000000002,73455520,0.3477879999999977,1.9480459830891548
T,2021-01-07,18.249773,71265359,0.0488130000000026,0.2681891504624078
T,2021-01-08,18.123919,72471656,-0.1258540000000003,0.6896195366375261
T,2021-01-11,18.030235,40833484,-0.0936839999999996,0.5169080704896091
T,2021-01-12,17.955294,57515222,-0.0749410000000025,0.4156407279217525
T,2021-01-13,17.867860999999998,51383116,-0.0874329999999972,0.4869483061652859
T,2021-01-14,18.292545,84548919,0.4246839999999992,2.3768038043277766
T,2021-01-15,18.217596,53824704,-0.0749490000000001,0.4097242893211423
T,2021-01-19,18.080202,53971536,-0.1373940000000004,0.7541829339063204
T,2021-01-20,18.086447,43086270,0.0062449999999998,0.0345405432970264
T,2021-01-21,18.005257,37102320,-0.0811899999999994,0.4488996650364741
T,2021-01-22,18.067711,45975370,0.0624539999999989,0.3468653627104511
T,2021-01-25,18.180124,68733209,0.1124130000000001,0.6221762125816608
T,2021-01-26,18.579824,66887024,0.3996999999999993,2.198554861341976
T,2021-01-27,18.19886,97381127,-0.3809639999999987,2.0504177004044752
T,2021-01-28,17.986519,69698670,-0.2123409999999985,1.1667818753482282
T,2021-01-29,17.880352,66272688,-0.1061670000000027,0.5902587376690441
T,2021-02-01,17.892843,56774709,0.0124910000000006,0.0698588036745624
T,2021-02-02,17.824142000000002,56673026,-0.0687010000000007,0.3839579881184939
T,2021-02-03,17.805407000000002,53468813,-0.0187349999999995,0.1051102487850439
T,2021-02-04,18.04273,42001782,0.2373229999999999,1.3328704027939378
T,2021-02-05,18.067711,36503739,0.0249810000000003,0.138454657360612
T,2021-02-08,17.967782999999997,42459356,-0.0999279999999984,0.5530750408836983
T,2021-02-09,17.874107000000002,43411312,-0.093676000000002,0.5213553614266273
T,2021-02-10,17.830389,55965612,-0.0437179999999983,0.2445884429359093
T,2021-02-11,17.917824,44673216,0.0874349999999992,0.4903706812005013
T,2021-02-12,17.986519,38015880,0.0686950000000017,0.3833891883300211
T,2021-02-16,18.092691000000002,51239727,0.1061719999999972,0.5902865362663964
T,2021-02-17,18.467413,67769867,0.374722000000002,2.071123637716479
T,2021-02-18,18.255074,35751575,-0.212339,1.149803711001644
T,2021-02-19,18.111425,39326772,-0.1436489999999999,0.786899028730313
T,2021-02-22,18.311277,46173044,0.1998519999999999,1.1034581762616686
T,2021-02-23,18.223845,62175305,-0.0874319999999997,0.4774762568443464
T,2021-02-24,18.348747,45852636,0.1249019999999987,0.6853767687334849
T,2021-02-25,17.880352,77501929,-0.46839500000000106,2.5527356173149105
T,2021-02-26,17.418196,102619798,-0.4621560000000002,2.5847142159170042
T,2021-03-01,17.543101999999998,58790102,0.1249060000000028,0.71710066874895
T,2021-03-02,17.62429,47299370,0.0811879999999973,0.46279158611742294
T,2021-03-03,17.936557999999998,75820581,0.3122680000000031,1.7718047081613109
T,2021-03-04,18.06146,80437237,0.1249019999999987,0.6963543395561106
T,2021-03-05,18.498635999999998,77737336,0.4371760000000009,2.4204909237680723
T,2021-03-08,18.729713,74116593,0.2310769999999991,1.2491569648702696
T,2021-03-09,18.511129,63488580,-0.2185839999999999,1.167044043867623
T,2021-03-10,18.729713,57977033,0.2185839999999999,1.1808247892389483
T,2021-03-11,18.448675,48327854,-0.2810379999999988,1.5004928265585211
